Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation
25/10/14,Reims,Montpellier,1,0,H,0,0,D,,12,13,1,5,15,12,5,6,3,0,0,0,12.654166666666667,4.891666666666667,0.6
26/10/14,Guingamp,Nice,2,7,A,1,4,A,,14,13,5,10,12,15,5,7,0,1,0,0,13.025,10.429166666666665,0.0
26/10/14,Lyon,Marseille,1,0,H,0,0,D,,10,11,5,4,25,19,3,3,1,3,0,0,11.8125,5.916666666666667,0.0
26/10/14,Rennes,Lille,2,0,H,0,0,D,,12,7,6,3,12,6,5,4,1,2,0,0,12.041666666666664,5.779166666666666,0.0
26/10/14,St Etienne,Metz,1,0,H,0,0,D,,12,10,5,1,6,16,12,1,1,2,0,0,10.804166666666667,8.241666666666669,0.0
31/10/14,Monaco,Reims,1,1,D,1,0,H,,12,7,5,1,9,15,6,5,1,2,0,0,15.854166666666666,3.029166666666667,0.0
01/11/14,Guingamp,Bastia,1,0,H,1,0,H,,9,7,2,3,13,9,4,5,2,1,0,0,15.025000000000004,19.604166666666668,1.6
01/11/14,Lille,St Etienne,1,1,D,1,0,H,,17,7,8,3,10,13,6,7,2,2,0,0,14.358333333333334,13.533333333333331,0.0
01/11/14,Lorient,Paris SG,1,2,A,1,0,H,,17,12,5,8,15,17,2,4,2,0,0,0,16.183333333333334,19.545833333333334,0.4
01/11/14,Metz,Caen,3,2,H,1,0,H,,11,12,4,3,15,6,0,5,2,0,0,1,12.333333333333334,8.641666666666667,0.0
01/11/14,Montpellier,Evian Thonon Gaillard,2,0,H,1,0,H,,14,7,6,1,13,19,4,5,2,1,0,0,14.391666666666667,9.7875,0.0
01/11/14,Nice,Lyon,1,3,A,0,0,D,,9,16,3,8,15,19,5,5,3,2,0,0,16.5125,3.6541666666666663,0.0
02/11/14,Bordeaux,Toulouse,2,1,H,0,0,D,,13,10,3,2,11,24,4,9,0,4,0,0,15.141666666666666,7.366666666666667,14.3
02/11/14,Marseille,Lens,2,1,H,1,1,D,,14,15,5,4,12,16,9,2,2,1,1,0,14.154166666666667,7.395833333333335,0.0
02/11/14,Nantes,Rennes,1,1,D,1,1,D,,12,2,3,1,12,18,6,2,3,3,0,0,14.066666666666665,19.508333333333333,3.3
07/11/14,Rennes,Lorient,1,0,H,0,0,D,,8,6,3,2,16,12,1,3,3,3,0,0,11.983333333333334,23.245833333333334,10.2
08/11/14,Bastia,Montpellier,2,0,H,2,0,H,,10,7,5,1,21,17,2,5,2,3,0,0,16.208333333333336,10.891666666666666,0.0
08/11/14,Caen,Nantes,1,2,A,1,1,D,,13,7,5,3,9,12,10,1,0,3,0,0,10.7875,22.945833333333336,3.8000000000000003
08/11/14,Evian Thonon Gaillard,Nice,1,0,H,0,0,D,,10,8,2,4,14,17,3,5,1,3,0,0,7.966666666666666,3.970833333333333,0.0
08/11/14,Lens,Bordeaux,1,2,A,0,2,A,,8,12,2,3,10,10,6,2,2,3,0,0,10.741666666666665,22.46666666666667,0.0
08/11/14,Toulouse,Metz,3,0,H,1,0,H,,11,12,4,2,18,18,6,2,1,1,0,0,10.666666666666666,6.854166666666667,0.0
09/11/14,Lyon,Guingamp,3,1,H,2,1,H,,13,11,6,5,21,9,8,3,1,1,0,0,8.354166666666668,3.9125,16.500000000000004
09/11/14,Paris SG,Marseille,2,0,H,1,0,H,,21,17,10,2,15,12,6,8,1,0,0,1,10.495833333333334,11.75,1.3000000000000003
09/11/14,Reims,Lille,2,0,H,2,0,H,,18,9,11,2,15,16,9,3,2,3,0,1,9.941666666666666,10.329166666666666,2.0
09/11/14,St Etienne,Monaco,1,1,D,0,1,A,,11,6,3,2,11,19,5,1,2,2,0,1,7.699999999999998,3.7666666666666657,20.8
21/11/14,Metz,Paris SG,2,3,A,0,2,A,,14,14,4,9,16,13,3,3,4,1,0,0,7.195833333333334,10.41666666666667,0.1
22/11/14,Bastia,Lyon,0,0,D,0,0,D,,9,7,2,1,19,17,4,6,4,1,0,0,15.899999999999999,8.35,0.2
22/11/14,Guingamp,Rennes,0,1,A,0,1,A,,16,13,2,5,11,17,7,4,2,3,0,0,12.991666666666669,11.512500000000003,10.499999999999998
22/11/14,Lorient,Lens,1,0,H,1,0,H,,24,5,13,1,14,14,8,1,1,0,0,1,14.095833333333333,8.825000000000001,5.700000000000001
22/11/14,Monaco,Caen,2,2,D,1,0,H,,25,13,9,3,9,17,7,4,0,2,0,0,13.75,5.7749999999999995,0.0
22/11/14,Nice,Reims,0,0,D,0,0,D,,13,10,3,2,13,15,6,5,2,2,0,0,13.845833333333333,5.7749999999999995,0.0
23/11/14,Marseille,Bordeaux,3,1,H,0,0,D,,26,12,12,4,11,15,4,7,0,1,0,0,16.395833333333332,16.075,0.6
23/11/14,Montpellier,Toulouse,2,0,H,1,0,H,,19,7,7,1,15,18,2,5,1,2,0,0,15.387500000000001,17.354166666666668,0.8999999999999999
23/11/14,Nantes,St Etienne,0,0,D,0,0,D,,11,13,7,5,17,11,7,3,2,3,0,0,12.22916666666667,11.500000000000002,2.1
28/11/14,Marseille,Nantes,2,0,H,2,0,H,,15,13,4,4,9,11,5,8,1,2,0,0,15.595833333333331,32.17916666666666,0.2
29/11/14,Caen,Montpellier,1,1,D,1,1,D,,21,8,8,4,11,11,7,6,2,0,0,0,11.770833333333336,12.566666666666668,0.0
29/11/14,Lens,Metz,2,0,H,0,0,D,,15,6,4,1,8,17,5,1,1,3,0,0,6.475000000000001,9.870833333333335,0.0
