Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation,season,league_home_avg,league_away_avg,HomeTeam_goals_5avg,HomeTeam_win_pct,AwayTeam_goals_5avg,AwayTeam_win_pct,Home_clean_sheets_5,Home_goals_conceded_5avg,Away_clean_sheets_5,Away_goals_conceded_5avg,Home_shot_conv_3,Away_shot_conv_3,Home_avg_cards_5,Away_avg_cards_5,Home_comeback_pts_10,Away_comeback_pts_10,h2h_goal_diff
F1,2018-06-04,St Etienne,Paris SG,1,1,D,1,0,H,16,8,5,2,5,16,11,3,1,4,0,1,10.491666666666667,13.9875,0.0,2017,1.5289473684210526,1.1894736842105262,2.0,0.4,1.8,0.4,2.0,1.0,3.0,0.6,0.16665277893508876,0.08332916687498958,1.0,1.6,0.0,0.0,0
F1,2018-07-04,Amiens,Caen,3,0,H,2,0,H,11,14,4,7,14,14,7,4,3,1,0,0,13.075000000000005,12.679166666666667,0.8999999999999999,2017,1.5289473684210526,1.1894736842105262,0.8,0.4,0.2,0.3,1.0,1.2,1.0,1.6,0.03571045959361497,0.0,1.2,2.0,0.0,0.0,0
F1,2018-07-04,Angers,Strasbourg,1,1,D,1,0,H,3,11,2,5,10,17,2,9,1,1,0,0,13.104166666666666,11.358333333333333,5.399999999999999,2017,1.5289473684210526,1.1894736842105262,1.4,0.4,1.0,0.3,3.0,1.0,0.0,2.6,0.1276514265046912,0.11427591920692512,1.0,2.0,0.0,0.0,0
F1,2018-07-04,Bordeaux,Lille,2,1,H,2,1,H,15,7,6,1,14,12,7,2,1,3,0,1,13.416666666666666,11.054166666666667,15.0,2017,1.5289473684210526,1.1894736842105262,1.2,0.4,1.0,0.3,2.0,1.0,1.0,1.4,0.0,0.12120110293003666,1.4,1.4,0.0,0.0,0
F1,2018-07-04,Guingamp,Troyes,4,0,H,1,0,H,15,8,10,4,11,12,9,10,1,1,0,0,10.141666666666666,8.304166666666665,5.9,2017,1.5289473684210526,1.1894736842105262,1.2,0.5,0.4,0.3,1.0,2.2,0.0,1.4,0.13952514940818084,0.03703292226789616,2.0,1.8,0.0,0.0,0
F1,2018-07-04,Monaco,Nantes,2,1,H,2,1,H,6,10,3,4,12,11,7,5,4,3,0,0,14.779166666666669,12.970833333333337,0.0,2017,1.5289473684210526,1.1894736842105262,2.8,0.5,1.6,0.3,1.0,1.0,1.0,1.2,0.1904625860057615,0.0909008271975275,1.6,1.8,1.0,0.0,0
F1,2018-07-04,Toulouse,Dijon,0,1,A,0,1,A,20,8,5,3,15,15,10,3,2,1,0,0,13.833333333333334,45.29583333333334,0.3,2017,1.5289473684210526,1.1894736842105262,1.4,0.4,1.2,0.3,1.0,1.6,1.0,2.2,0.20687515084646418,0.15382840441487522,2.0,2.2,0.0,0.0,0
F1,2018-08-04,Marseille,Montpellier,0,0,D,0,0,D,12,6,3,2,14,12,6,2,2,1,0,0,16.258333333333336,34.98333333333333,1.1,2017,1.5289473684210526,1.1894736842105262,2.4,0.4,1.0,0.4,1.0,1.8,2.0,1.2,0.09090289298456923,0.13332000133320002,2.2,2.0,0.0,0.0,0
F1,2018-08-04,Metz,Lyon,0,5,A,0,2,A,10,14,5,6,18,7,4,3,2,0,0,0,14.570833333333336,6.6000000000000005,0.0,2017,1.5289473684210526,1.1894736842105262,1.4,0.4,1.8,0.4,1.0,0.8,0.0,2.2,0.06249414117426492,0.13952514940818084,1.8,3.0,0.0,1.0,0
F1,2018-08-04,Nice,Rennes,1,1,D,1,1,D,10,9,2,3,7,12,5,2,4,4,0,0,15.4,22.729166666666668,4.700000000000001,2017,1.5289473684210526,1.1894736842105262,1.0,0.4,1.8,0.4,1.0,1.0,3.0,0.8,0.08162765544966634,0.1714138788103877,2.0,1.4,0.0,2.0,0
F1,2018-04-13,Angers,Nice,1,1,D,0,0,D,12,15,3,7,14,5,4,8,1,3,0,0,11.0125,6.279166666666665,1.3,2017,1.5289473684210526,1.1894736842105262,1.4,0.3,2.0,0.4,2.0,1.2,2.0,1.4,0.22578460149017837,0.19998285861211898,1.0,2.2,0.0,1.0,0
F1,2018-04-14,Lille,Guingamp,2,2,D,0,0,D,10,6,3,3,15,15,2,3,2,1,0,0,11.191666666666665,5.3500000000000005,2.1,2017,1.5289473684210526,1.1894736842105262,0.8,0.3,0.6,0.4,0.0,1.8,1.0,1.8,0.058818339558274264,0.03999520057593089,0.6,2.2,0.0,0.0,0
F1,2018-04-14,Lyon,Amiens,3,0,H,1,0,H,25,5,8,2,9,11,7,5,0,0,0,0,12.487500000000004,5.979166666666668,3.6,2017,1.5289473684210526,1.1894736842105262,1.2,0.3,1.0,0.5,2.0,0.8,2.0,1.0,0.08162765544966634,0.10713137878084492,1.4,1.6,0.0,0.0,0
F1,2018-04-14,Nantes,Dijon,1,1,D,1,0,H,15,12,2,4,14,9,6,4,0,0,0,0,11.658333333333331,8.691666666666666,4.199999999999999,2017,1.5289473684210526,1.1894736842105262,0.6,0.3,1.0,0.6,1.0,1.4,2.0,1.6,0.01515082647758435,0.1851646113394808,1.2,2.2,0.0,0.0,0
F1,2018-04-14,Rennes,Metz,1,2,A,1,0,H,14,7,3,6,6,17,7,3,1,4,0,0,11.6625,7.941666666666666,2.8,2017,1.5289473684210526,1.1894736842105262,1.0,0.2,1.4,0.6,2.0,0.6,0.0,3.2,0.08162765544966634,0.18179339181020768,1.6,2.2,0.0,0.0,0
F1,2018-04-14,Strasbourg,St Etienne,0,1,A,0,0,D,16,5,6,1,11,10,10,1,3,1,0,0,12.95833333333333,8.354166666666664,0.0,2017,1.5289473684210526,1.1894736842105262,1.0,0.1,1.6,0.7,1.0,1.6,3.0,0.4,0.051721462682964674,0.1562353529356623,2.0,2.0,0.0,0.0,0
F1,2018-04-15,Montpellier,Bordeaux,1,3,A,0,1,A,19,9,5,4,9,8,6,2,3,2,0,0,16.154166666666665,9.5375,0.0,2017,1.5289473684210526,1.1894736842105262,1.6,0.1,1.0,0.7,0.0,1.2,2.0,1.0,0.08510095100312746,0.07691420220743761,1.0,2.2,0.0,0.0,0
